assembly	acetylcoa	but	buk	succinate	pdiol
MGYG-HGUT-00213	0	0	0	0	0
MGYG-HGUT-00214	0	0	0	1	1
MGYG-HGUT-00215	0	0	0	0	0
MGYG-HGUT-00216	0	0	0	0	1
MGYG-HGUT-00217	1	0	0	0	0
MGYG-HGUT-00218	1	1	0	0	0
MGYG-HGUT-00219	1	1	0	0	1
MGYG-HGUT-00220	0	0	0	0	0
MGYG-HGUT-00221	0	0	0	1	0
MGYG-HGUT-00222	0	0	0	1	0
MGYG-HGUT-00223	1	0	0	0	0
MGYG-HGUT-00224	0	0	0	1	0
MGYG-HGUT-00225	0	0	0	0	0
MGYG-HGUT-00226	0	0	0	0	0
MGYG-HGUT-00227	0	0	0	0	0
MGYG-HGUT-00228	0	0	0	0	0
MGYG-HGUT-00229	0	0	0	0	0
MGYG-HGUT-00230	0	0	0	0	0
MGYG-HGUT-00231	1	1	1	0	0
MGYG-HGUT-00233	1	1	0	0	0
MGYG-HGUT-00234	0	0	0	0	0
MGYG-HGUT-00235	0	0	0	0	0
MGYG-HGUT-00236	0	0	0	1	0
MGYG-HGUT-00237	0	0	0	0	0
MGYG-HGUT-00238	0	0	0	0	0
MGYG-HGUT-00240	1	0	0	0	0
MGYG-HGUT-00241	0	0	0	0	0
MGYG-HGUT-00242	0	0	0	0	0
MGYG-HGUT-00243	0	0	0	1	0
MGYG-HGUT-00244	0	0	0	0	0
MGYG-HGUT-00245	1	1	0	0	0
MGYG-HGUT-00246	0	0	0	0	0
MGYG-HGUT-00247	0	0	0	0	0
MGYG-HGUT-00248	0	0	0	0	0
MGYG-HGUT-00250	1	1	0	0	0
MGYG-HGUT-00251	0	0	0	0	0
MGYG-HGUT-00252	0	0	0	0	1
MGYG-HGUT-00253	1	0	0	0	0
MGYG-HGUT-00254	1	0	0	1	0
MGYG-HGUT-00255	1	1	0	0	0
MGYG-HGUT-00256	0	0	0	0	0
MGYG-HGUT-00258	0	0	0	0	0
MGYG-HGUT-00259	0	0	0	0	0
MGYG-HGUT-00260	0	0	0	0	0
MGYG-HGUT-00261	0	0	0	0	0
MGYG-HGUT-00262	1	1	0	0	1
MGYG-HGUT-00263	0	0	0	0	1
MGYG-HGUT-00264	0	0	0	0	0
MGYG-HGUT-00265	0	0	0	1	0
MGYG-HGUT-00266	0	0	0	0	0
MGYG-HGUT-00267	1	1	0	0	0
MGYG-HGUT-00268	0	0	0	0	1
MGYG-HGUT-00269	0	0	0	0	0
MGYG-HGUT-00270	0	0	0	0	0
MGYG-HGUT-00271	1	1	0	0	0
MGYG-HGUT-00272	0	0	0	0	0
MGYG-HGUT-00273	0	0	0	1	0
MGYG-HGUT-00274	0	0	0	0	0
MGYG-HGUT-00276	1	1	0	0	0
MGYG-HGUT-00277	0	0	0	0	0
MGYG-HGUT-00278	0	0	0	0	0
MGYG-HGUT-00280	1	1	0	0	0
MGYG-HGUT-00281	1	0	1	0	0
MGYG-HGUT-00282	1	1	0	0	0
MGYG-HGUT-00294	0	0	0	1	0
MGYG-HGUT-00296	0	0	0	0	0
MGYG-HGUT-00297	0	0	0	0	0
MGYG-HGUT-00305	0	0	0	1	0
MGYG-HGUT-00315	0	0	0	0	0
MGYG-HGUT-00347	0	0	0	0	0
MGYG-HGUT-00354	0	0	0	1	0
MGYG-HGUT-00358	0	0	0	0	0
MGYG-HGUT-00379	1	0	0	0	0
MGYG-HGUT-00435	0	0	0	0	0
MGYG-HGUT-00441	0	0	0	1	0
MGYG-HGUT-00476	0	0	0	0	1
MGYG-HGUT-00501	1	0	1	0	0
MGYG-HGUT-00502	1	0	0	0	0
MGYG-HGUT-00504	0	0	0	1	0
MGYG-HGUT-00562	0	0	0	0	0
MGYG-HGUT-00567	0	0	0	0	0
MGYG-HGUT-00575	0	0	0	0	0
MGYG-HGUT-00584	0	0	0	0	0
MGYG-HGUT-00666	0	0	0	0	0
MGYG-HGUT-00672	0	0	0	0	0
MGYG-HGUT-00695	0	0	0	0	0
MGYG-HGUT-00712	1	1	0	0	0
MGYG-HGUT-00718	1	0	0	0	0
MGYG-HGUT-00751	0	0	0	0	0
MGYG-HGUT-00765	0	0	0	0	0
MGYG-HGUT-00770	0	0	0	0	0
MGYG-HGUT-00803	0	0	0	0	0
MGYG-HGUT-00805	0	0	0	0	0
MGYG-HGUT-00864	1	0	1	0	0
MGYG-HGUT-00868	0	0	0	0	0
MGYG-HGUT-00872	0	0	0	1	0
MGYG-HGUT-00873	1	0	0	1	0
MGYG-HGUT-00887	0	0	0	0	0
MGYG-HGUT-00896	0	0	0	0	0
MGYG-HGUT-00897	0	0	0	0	0
MGYG-HGUT-00927	0	0	0	1	0
MGYG-HGUT-00952	0	0	0	0	0
MGYG-HGUT-00953	0	0	0	0	0
MGYG-HGUT-00958	0	0	0	0	0
MGYG-HGUT-00979	0	0	0	0	0
MGYG-HGUT-00980	0	0	0	0	0
MGYG-HGUT-00981	0	0	0	0	0
MGYG-HGUT-00992	0	0	0	0	0
MGYG-HGUT-01001	0	0	0	0	0
MGYG-HGUT-01003	0	0	0	0	0
MGYG-HGUT-01007	0	0	0	0	1
MGYG-HGUT-01012	1	0	0	1	0
MGYG-HGUT-01085	0	0	0	0	0
MGYG-HGUT-01222	0	0	0	0	0
MGYG-HGUT-01271	0	0	0	0	0
MGYG-HGUT-01287	0	0	0	0	0
MGYG-HGUT-01291	0	0	0	0	0
MGYG-HGUT-01292	0	0	0	0	0
MGYG-HGUT-01293	0	0	0	0	0
MGYG-HGUT-01294	0	0	0	0	0
MGYG-HGUT-01295	0	0	0	0	0
MGYG-HGUT-01296	0	0	0	0	0
MGYG-HGUT-01298	0	0	0	0	0
MGYG-HGUT-01299	1	0	0	0	0
MGYG-HGUT-01300	1	1	0	0	0
MGYG-HGUT-01301	0	0	0	0	0
MGYG-HGUT-01302	0	0	0	1	0
MGYG-HGUT-01303	0	0	0	0	0
MGYG-HGUT-01304	0	0	0	0	0
MGYG-HGUT-01305	1	1	0	0	0
MGYG-HGUT-01306	0	0	0	1	0
MGYG-HGUT-01307	0	0	0	0	0
MGYG-HGUT-01308	0	0	0	0	0
MGYG-HGUT-01309	1	0	1	0	0
MGYG-HGUT-01310	0	0	0	0	0
MGYG-HGUT-01311	0	0	0	0	0
MGYG-HGUT-01312	0	0	0	0	0
MGYG-HGUT-01313	0	0	0	1	0
MGYG-HGUT-01314	0	0	0	0	0
MGYG-HGUT-01315	1	0	0	0	0
MGYG-HGUT-01316	0	0	0	0	0
MGYG-HGUT-01317	0	0	0	0	1
MGYG-HGUT-01318	0	0	0	0	0
MGYG-HGUT-01319	1	0	1	0	0
MGYG-HGUT-01320	0	0	0	0	1
MGYG-HGUT-01322	1	0	1	0	0
MGYG-HGUT-01323	0	0	0	0	0
MGYG-HGUT-01324	1	0	0	0	0
MGYG-HGUT-01325	1	0	0	0	0
MGYG-HGUT-01326	1	0	0	0	1
MGYG-HGUT-01327	1	0	0	0	1
MGYG-HGUT-01328	1	0	1	0	0
MGYG-HGUT-01329	0	0	0	0	0
MGYG-HGUT-01330	0	0	0	0	0
MGYG-HGUT-01331	0	0	0	0	0
MGYG-HGUT-01332	0	0	0	0	1
MGYG-HGUT-01335	0	0	0	0	0
MGYG-HGUT-01336	0	0	0	0	1
MGYG-HGUT-01337	0	0	0	1	0
MGYG-HGUT-01338	0	0	0	0	1
MGYG-HGUT-01339	0	0	0	1	1
MGYG-HGUT-01340	0	0	0	0	0
MGYG-HGUT-01341	0	0	0	0	0
MGYG-HGUT-01342	0	0	0	0	0
MGYG-HGUT-01343	0	0	0	0	0
MGYG-HGUT-01344	0	0	0	0	0
MGYG-HGUT-01345	0	0	0	1	0
MGYG-HGUT-01346	0	0	0	1	0
MGYG-HGUT-01347	1	0	0	0	0
MGYG-HGUT-01348	0	0	0	0	0
MGYG-HGUT-01349	0	0	0	1	1
MGYG-HGUT-01350	1	0	0	0	1
MGYG-HGUT-01351	0	0	0	0	0
MGYG-HGUT-01352	1	0	0	0	0
MGYG-HGUT-01353	0	0	0	0	0
MGYG-HGUT-01354	0	0	0	0	0
MGYG-HGUT-01355	1	1	0	0	1
MGYG-HGUT-01356	1	1	0	0	0
MGYG-HGUT-01357	0	0	0	0	0
MGYG-HGUT-01358	0	0	0	0	0
MGYG-HGUT-01359	0	0	0	0	0
MGYG-HGUT-01360	0	0	0	0	0
MGYG-HGUT-01361	0	0	0	0	0
MGYG-HGUT-01363	0	0	0	0	0
MGYG-HGUT-01364	0	0	0	1	0
MGYG-HGUT-01365	0	0	0	1	0
MGYG-HGUT-01366	0	0	0	0	0
MGYG-HGUT-01367	1	1	0	0	0
MGYG-HGUT-01368	0	0	0	0	1
MGYG-HGUT-01369	0	0	0	0	0
MGYG-HGUT-01370	0	0	0	1	0
MGYG-HGUT-01371	0	0	0	0	0
MGYG-HGUT-01372	0	0	0	1	0
MGYG-HGUT-01373	0	0	0	0	0
MGYG-HGUT-01374	0	0	0	0	0
MGYG-HGUT-01375	0	0	0	0	0
MGYG-HGUT-01376	0	0	0	1	0
MGYG-HGUT-01377	0	0	0	1	0
MGYG-HGUT-01378	0	0	0	1	0
MGYG-HGUT-01379	0	0	0	0	1
MGYG-HGUT-01380	0	0	0	0	1
MGYG-HGUT-01381	0	0	0	0	0
MGYG-HGUT-01382	0	0	0	0	0
MGYG-HGUT-01383	0	0	0	0	0
MGYG-HGUT-01384	0	0	0	0	0
MGYG-HGUT-01385	0	0	0	1	0
MGYG-HGUT-01387	0	0	0	0	0
MGYG-HGUT-01388	1	1	0	0	0
MGYG-HGUT-01389	0	0	0	1	0
MGYG-HGUT-01390	0	0	0	0	0
MGYG-HGUT-01391	0	0	0	1	0
MGYG-HGUT-01392	0	0	0	0	0
MGYG-HGUT-01393	0	0	0	0	1
MGYG-HGUT-01395	0	0	0	0	1
MGYG-HGUT-01396	1	0	0	0	0
MGYG-HGUT-01397	0	0	0	1	0
MGYG-HGUT-01398	1	0	0	0	0
MGYG-HGUT-01399	1	0	0	1	0
MGYG-HGUT-01400	0	0	0	0	0
MGYG-HGUT-01401	0	0	0	0	0
MGYG-HGUT-01402	0	0	0	0	0
MGYG-HGUT-01403	0	0	0	1	0
MGYG-HGUT-01404	0	0	0	0	0
MGYG-HGUT-01405	0	0	0	1	0
MGYG-HGUT-01406	0	0	0	1	0
MGYG-HGUT-01407	1	0	1	0	0
MGYG-HGUT-01408	0	0	0	0	0
MGYG-HGUT-01409	0	0	0	0	0
MGYG-HGUT-01410	0	0	0	0	0
MGYG-HGUT-01411	0	0	0	0	0
MGYG-HGUT-01412	0	0	0	1	1
MGYG-HGUT-01413	0	0	0	0	0
MGYG-HGUT-01414	1	1	0	0	0
MGYG-HGUT-01415	0	0	0	1	0
MGYG-HGUT-01416	0	0	0	0	0
MGYG-HGUT-01417	0	0	0	0	0
MGYG-HGUT-01418	0	0	0	1	0
MGYG-HGUT-01419	0	0	0	0	0
MGYG-HGUT-01420	0	0	0	1	0
MGYG-HGUT-01421	0	0	0	0	0
MGYG-HGUT-01422	0	0	0	1	0
MGYG-HGUT-01423	1	0	1	0	1
MGYG-HGUT-01424	1	1	0	0	0
MGYG-HGUT-01425	1	1	0	0	1
MGYG-HGUT-01426	0	0	0	0	1
MGYG-HGUT-01427	0	0	0	0	0
MGYG-HGUT-01428	0	0	0	1	0
MGYG-HGUT-01429	0	0	0	1	0
MGYG-HGUT-01430	0	0	0	0	0
MGYG-HGUT-01432	0	0	0	0	0
MGYG-HGUT-01433	0	0	0	1	0
MGYG-HGUT-01434	1	1	0	0	0
MGYG-HGUT-01435	0	0	0	1	0
MGYG-HGUT-01436	0	0	0	0	0
MGYG-HGUT-01437	0	0	0	0	0
MGYG-HGUT-01439	0	0	0	0	0
MGYG-HGUT-01440	1	1	0	0	0
MGYG-HGUT-01441	0	0	0	0	0
MGYG-HGUT-01442	0	0	0	0	0
MGYG-HGUT-01443	0	0	0	1	0
MGYG-HGUT-01444	0	0	0	1	0
MGYG-HGUT-01445	0	0	0	0	0
MGYG-HGUT-01446	0	0	0	1	0
MGYG-HGUT-01447	0	0	0	0	0
MGYG-HGUT-01448	0	0	0	0	0
MGYG-HGUT-01449	0	0	0	0	0
MGYG-HGUT-01450	0	0	0	0	0
MGYG-HGUT-01451	0	0	0	0	0
MGYG-HGUT-01452	0	0	0	0	0
MGYG-HGUT-01453	0	0	0	1	0
MGYG-HGUT-01454	0	0	0	0	0
MGYG-HGUT-01456	1	0	0	0	0
MGYG-HGUT-01457	0	0	0	0	0
MGYG-HGUT-01458	1	0	0	0	0
MGYG-HGUT-01459	0	0	0	0	0
MGYG-HGUT-01460	1	0	1	1	0
MGYG-HGUT-01461	0	0	0	1	0
MGYG-HGUT-01462	0	0	0	0	0
MGYG-HGUT-01463	0	0	0	0	0
MGYG-HGUT-01464	1	0	0	0	1
MGYG-HGUT-01465	0	0	0	0	0
MGYG-HGUT-01466	0	0	0	0	0
MGYG-HGUT-01467	1	0	0	0	1
MGYG-HGUT-01468	0	0	0	1	0
MGYG-HGUT-01469	0	0	0	1	0
MGYG-HGUT-01470	0	0	0	0	0
MGYG-HGUT-01471	0	0	0	0	0
MGYG-HGUT-01472	0	0	0	0	0
MGYG-HGUT-01473	1	0	1	1	1
MGYG-HGUT-01474	1	0	1	0	0
MGYG-HGUT-01475	0	0	0	1	0
MGYG-HGUT-01476	1	0	0	0	1
MGYG-HGUT-01477	1	0	1	0	0
MGYG-HGUT-01479	1	0	1	0	0
MGYG-HGUT-01480	0	0	0	0	0
MGYG-HGUT-01481	0	0	0	1	0
MGYG-HGUT-01482	0	0	0	1	0
MGYG-HGUT-01483	0	0	0	1	1
MGYG-HGUT-01484	0	0	0	1	0
MGYG-HGUT-01485	0	0	0	0	0
MGYG-HGUT-01486	0	0	0	1	0
MGYG-HGUT-01487	0	0	0	0	0
MGYG-HGUT-01488	0	0	0	1	0
MGYG-HGUT-01489	0	0	0	1	0
MGYG-HGUT-01490	0	0	0	0	0
MGYG-HGUT-01491	0	0	0	1	0
MGYG-HGUT-01492	0	0	0	0	0
MGYG-HGUT-01493	0	0	0	0	1
MGYG-HGUT-01494	0	0	0	0	0
MGYG-HGUT-01495	1	1	0	0	0
MGYG-HGUT-01496	0	0	0	0	0
MGYG-HGUT-01497	0	0	0	0	0
MGYG-HGUT-01498	0	0	0	1	0
MGYG-HGUT-01499	0	0	0	0	1
MGYG-HGUT-01500	1	1	0	0	0
MGYG-HGUT-01501	0	0	0	1	0
MGYG-HGUT-01502	1	1	0	0	0
MGYG-HGUT-01503	0	0	0	1	0
MGYG-HGUT-01504	1	0	1	1	1
MGYG-HGUT-01505	1	0	0	0	0
MGYG-HGUT-01506	0	0	0	0	0
MGYG-HGUT-01507	0	0	0	0	0
MGYG-HGUT-01508	0	0	0	1	0
MGYG-HGUT-01509	0	0	0	0	0
MGYG-HGUT-01510	0	0	0	0	0
MGYG-HGUT-01511	0	0	0	1	0
MGYG-HGUT-01512	0	0	0	1	0
MGYG-HGUT-01513	1	0	1	0	0
MGYG-HGUT-01514	0	0	0	0	0
MGYG-HGUT-01515	0	0	0	0	0
MGYG-HGUT-01516	0	0	0	0	0
MGYG-HGUT-01517	0	0	0	0	0
MGYG-HGUT-01518	0	0	0	0	0
MGYG-HGUT-01519	1	1	0	0	0
MGYG-HGUT-01520	0	0	0	0	0
MGYG-HGUT-01521	0	0	0	0	0
MGYG-HGUT-01522	0	0	0	0	0
MGYG-HGUT-01523	0	0	0	0	0
MGYG-HGUT-01524	0	0	0	0	0
MGYG-HGUT-01525	0	0	0	0	0
MGYG-HGUT-01526	0	0	0	0	0
MGYG-HGUT-01527	0	0	0	0	0
MGYG-HGUT-01528	0	0	0	0	1
MGYG-HGUT-01529	1	0	0	1	0
MGYG-HGUT-01530	1	1	0	0	0
MGYG-HGUT-01531	0	0	0	0	0
MGYG-HGUT-01532	1	1	0	0	0
MGYG-HGUT-01533	0	0	0	0	0
MGYG-HGUT-01534	0	0	0	0	0
MGYG-HGUT-01535	0	0	0	0	0
MGYG-HGUT-01536	0	0	0	0	0
MGYG-HGUT-01537	0	0	0	0	0
MGYG-HGUT-01538	0	0	0	0	0
MGYG-HGUT-01539	0	0	0	0	0
MGYG-HGUT-01540	0	0	0	0	0
MGYG-HGUT-01541	1	0	0	0	0
MGYG-HGUT-01542	0	0	0	0	0
MGYG-HGUT-01543	0	0	0	0	0
MGYG-HGUT-01544	0	0	0	0	0
MGYG-HGUT-01545	0	0	0	0	0
MGYG-HGUT-01546	0	0	0	1	0
MGYG-HGUT-01547	1	1	0	0	0
MGYG-HGUT-01548	0	0	0	0	0
MGYG-HGUT-01549	0	0	0	0	0
MGYG-HGUT-01550	1	0	0	0	1
MGYG-HGUT-01551	1	0	0	1	0
MGYG-HGUT-01552	1	0	0	1	0
MGYG-HGUT-01553	1	0	1	0	0
MGYG-HGUT-01554	0	0	0	0	0
MGYG-HGUT-01555	1	0	0	0	0
MGYG-HGUT-01556	1	1	0	0	0
MGYG-HGUT-01557	0	0	0	0	0
MGYG-HGUT-01558	0	0	0	0	0
MGYG-HGUT-01559	1	1	0	0	0
MGYG-HGUT-01560	0	0	0	0	1
MGYG-HGUT-01561	1	1	0	0	0
MGYG-HGUT-01562	0	0	0	1	0
MGYG-HGUT-01563	1	0	0	0	0
MGYG-HGUT-01567	0	0	0	0	0
MGYG-HGUT-01601	0	0	0	0	0
MGYG-HGUT-01639	0	0	0	1	0
MGYG-HGUT-01688	0	0	0	0	0
MGYG-HGUT-01689	1	0	0	0	0
MGYG-HGUT-01690	1	1	0	0	0
MGYG-HGUT-01691	0	0	0	0	0
MGYG-HGUT-01692	0	0	0	0	0
MGYG-HGUT-01693	0	0	0	1	0
MGYG-HGUT-01694	0	0	0	0	0
MGYG-HGUT-01696	0	0	0	0	1
MGYG-HGUT-01697	0	0	0	0	0
MGYG-HGUT-01698	0	0	0	0	0
MGYG-HGUT-01699	1	0	1	0	0
MGYG-HGUT-01700	0	0	0	0	1
MGYG-HGUT-01701	0	0	0	0	0
MGYG-HGUT-01702	0	0	0	0	0
MGYG-HGUT-01703	0	0	0	0	0
MGYG-HGUT-01704	0	0	0	0	0
MGYG-HGUT-01706	0	0	0	0	0
MGYG-HGUT-01707	1	1	1	0	0
MGYG-HGUT-01708	0	0	0	0	0
MGYG-HGUT-01709	0	0	0	0	0
MGYG-HGUT-01710	0	0	0	0	0
MGYG-HGUT-01711	1	0	0	0	0
MGYG-HGUT-01713	0	0	0	0	0
MGYG-HGUT-01714	1	1	0	0	0
MGYG-HGUT-01735	0	0	0	1	0
MGYG-HGUT-01736	0	0	0	0	0
MGYG-HGUT-01737	0	0	0	0	0
MGYG-HGUT-01752	0	0	0	0	0
MGYG-HGUT-01762	1	1	0	0	0
MGYG-HGUT-01767	0	0	0	0	0
MGYG-HGUT-01772	1	0	0	1	0
MGYG-HGUT-01774	1	0	0	1	0
MGYG-HGUT-01788	0	0	0	0	0
MGYG-HGUT-01803	0	0	0	0	0
MGYG-HGUT-01856	0	0	0	0	0
MGYG-HGUT-01875	0	0	0	0	0
MGYG-HGUT-01880	0	0	0	0	0
MGYG-HGUT-01900	0	0	0	0	0
MGYG-HGUT-01946	0	0	0	0	0
MGYG-HGUT-01948	0	0	0	1	0
MGYG-HGUT-01959	0	0	0	0	0
MGYG-HGUT-02002	0	0	0	0	0
MGYG-HGUT-02043	0	0	0	0	0
MGYG-HGUT-02050	0	0	0	0	0
MGYG-HGUT-02082	0	0	0	1	0
MGYG-HGUT-02132	0	0	0	0	0
MGYG-HGUT-02161	0	0	0	0	0
MGYG-HGUT-02162	0	0	0	0	0
MGYG-HGUT-02163	0	0	0	0	0
MGYG-HGUT-02164	0	0	0	0	0
MGYG-HGUT-02166	0	0	0	0	0
MGYG-HGUT-02175	0	0	0	0	0
MGYG-HGUT-02248	0	0	0	0	0
MGYG-HGUT-02267	1	0	1	0	1
MGYG-HGUT-02268	1	0	0	0	0
MGYG-HGUT-02269	1	1	0	0	0
MGYG-HGUT-02270	0	0	0	0	1
MGYG-HGUT-02271	0	0	0	0	1
MGYG-HGUT-02272	1	1	0	0	0
MGYG-HGUT-02273	0	0	0	1	0
MGYG-HGUT-02274	1	1	0	0	0
MGYG-HGUT-02275	0	0	0	0	0
MGYG-HGUT-02276	1	0	1	0	1
MGYG-HGUT-02277	0	0	0	0	0
MGYG-HGUT-02278	1	0	0	0	0
MGYG-HGUT-02279	0	0	0	0	0
MGYG-HGUT-02280	0	0	0	0	0
MGYG-HGUT-02281	0	0	0	1	0
MGYG-HGUT-02282	0	0	0	1	0
MGYG-HGUT-02283	0	0	0	0	0
MGYG-HGUT-02284	0	0	0	1	0
MGYG-HGUT-02285	1	0	1	0	0
MGYG-HGUT-02286	0	0	0	0	0
MGYG-HGUT-02287	1	1	0	0	0
MGYG-HGUT-02288	0	0	0	0	0
MGYG-HGUT-02289	1	1	1	0	0
MGYG-HGUT-02290	0	0	0	0	0
MGYG-HGUT-02291	0	0	0	1	0
MGYG-HGUT-02292	1	1	0	0	0
MGYG-HGUT-02293	0	0	0	0	0
MGYG-HGUT-02294	0	0	0	0	0
MGYG-HGUT-02295	0	0	0	0	0
MGYG-HGUT-02296	0	0	0	0	0
MGYG-HGUT-02297	1	1	0	0	0
MGYG-HGUT-02298	0	0	0	0	1
MGYG-HGUT-02299	0	0	0	0	0
MGYG-HGUT-02300	0	0	0	1	0
MGYG-HGUT-02301	0	0	0	0	0
MGYG-HGUT-02302	0	0	0	0	0
MGYG-HGUT-02303	0	0	0	0	0
MGYG-HGUT-02304	0	0	0	0	0
MGYG-HGUT-02306	0	0	0	1	0
MGYG-HGUT-02307	0	0	0	0	0
MGYG-HGUT-02308	0	0	0	0	0
MGYG-HGUT-02309	0	0	0	1	0
MGYG-HGUT-02310	0	0	0	1	0
MGYG-HGUT-02311	0	0	0	0	0
MGYG-HGUT-02312	0	0	0	0	1
MGYG-HGUT-02313	0	0	0	0	0
MGYG-HGUT-02315	1	1	0	0	0
MGYG-HGUT-02319	0	0	0	0	0
MGYG-HGUT-02320	0	0	0	0	0
MGYG-HGUT-02321	0	0	0	0	0
MGYG-HGUT-02322	0	0	0	0	1
MGYG-HGUT-02323	0	0	0	0	1
MGYG-HGUT-02324	0	0	0	0	0
MGYG-HGUT-02325	0	0	0	0	1
MGYG-HGUT-02327	1	1	0	0	0
MGYG-HGUT-02328	0	0	0	0	0
MGYG-HGUT-02329	0	0	0	0	0
MGYG-HGUT-02333	0	0	0	0	0
MGYG-HGUT-02334	0	0	0	0	0
MGYG-HGUT-02335	0	0	0	0	1
MGYG-HGUT-02336	1	1	0	0	0
MGYG-HGUT-02337	0	0	0	0	0
MGYG-HGUT-02338	0	0	0	0	0
MGYG-HGUT-02339	0	0	0	0	0
MGYG-HGUT-02340	1	1	0	1	1
MGYG-HGUT-02341	0	0	0	0	0
MGYG-HGUT-02342	0	0	0	0	0
MGYG-HGUT-02344	0	0	0	0	0
MGYG-HGUT-02347	0	0	0	0	0
MGYG-HGUT-02348	0	0	0	0	0
MGYG-HGUT-02350	0	0	0	0	0
MGYG-HGUT-02351	0	0	0	0	1
MGYG-HGUT-02352	0	0	0	0	0
MGYG-HGUT-02353	0	0	0	0	0
MGYG-HGUT-02356	0	0	0	0	0
MGYG-HGUT-02357	0	0	0	0	0
MGYG-HGUT-02359	0	0	0	1	0
MGYG-HGUT-02360	0	0	0	0	0
MGYG-HGUT-02361	0	0	0	0	0
MGYG-HGUT-02362	1	0	0	0	0
MGYG-HGUT-02363	0	0	0	0	1
MGYG-HGUT-02366	0	0	0	0	1
MGYG-HGUT-02367	0	0	0	0	0
MGYG-HGUT-02368	0	0	0	0	0
MGYG-HGUT-02369	1	0	1	0	0
MGYG-HGUT-02370	1	0	1	0	0
MGYG-HGUT-02371	0	0	0	1	0
MGYG-HGUT-02372	1	0	1	0	0
MGYG-HGUT-02374	0	0	0	0	0
MGYG-HGUT-02375	1	0	1	0	0
MGYG-HGUT-02376	0	0	0	0	0
MGYG-HGUT-02377	1	0	1	0	1
MGYG-HGUT-02378	0	0	0	1	0
MGYG-HGUT-02380	0	0	0	0	1
MGYG-HGUT-02381	0	0	0	0	0
MGYG-HGUT-02382	0	0	0	0	0
MGYG-HGUT-02383	0	0	0	0	0
MGYG-HGUT-02384	0	0	0	0	0
MGYG-HGUT-02385	0	0	0	0	0
MGYG-HGUT-02386	0	0	0	0	0
MGYG-HGUT-02387	0	0	0	0	0
MGYG-HGUT-02388	0	0	0	0	0
MGYG-HGUT-02389	0	0	0	0	0
MGYG-HGUT-02390	0	0	0	0	0
MGYG-HGUT-02391	0	0	0	1	0
MGYG-HGUT-02394	0	0	0	1	0
MGYG-HGUT-02395	0	0	0	0	0
MGYG-HGUT-02396	0	0	0	0	0
MGYG-HGUT-02397	0	0	0	0	0
MGYG-HGUT-02398	0	0	0	0	0
MGYG-HGUT-02399	0	0	0	0	0
MGYG-HGUT-02400	0	0	0	0	0
MGYG-HGUT-02401	0	0	0	1	1
MGYG-HGUT-02402	1	0	0	0	0
MGYG-HGUT-02403	0	0	0	0	1
MGYG-HGUT-02404	0	0	0	1	0
MGYG-HGUT-02405	0	0	0	0	0
MGYG-HGUT-02406	0	0	0	1	0
MGYG-HGUT-02407	0	0	0	0	0
MGYG-HGUT-02408	1	0	0	1	0
MGYG-HGUT-02409	0	0	0	0	0
MGYG-HGUT-02410	0	0	0	0	0
MGYG-HGUT-02411	0	0	0	0	0
MGYG-HGUT-02412	0	0	0	0	0
MGYG-HGUT-02413	0	0	0	0	0
MGYG-HGUT-02414	0	0	0	0	0
MGYG-HGUT-02415	0	0	0	0	0
MGYG-HGUT-02416	1	1	0	0	1
MGYG-HGUT-02417	0	0	0	0	0
MGYG-HGUT-02418	0	0	0	1	0
MGYG-HGUT-02419	0	0	0	0	0
MGYG-HGUT-02420	1	0	0	0	1
MGYG-HGUT-02421	0	0	0	0	0
MGYG-HGUT-02423	0	0	0	0	0
MGYG-HGUT-02424	0	0	0	0	0
MGYG-HGUT-02425	0	0	0	0	0
MGYG-HGUT-02429	0	0	0	0	0
MGYG-HGUT-02430	0	0	0	0	0
MGYG-HGUT-02433	0	0	0	0	0
MGYG-HGUT-02434	0	0	0	0	0
MGYG-HGUT-02435	0	0	0	0	0
MGYG-HGUT-02436	0	0	0	0	0
MGYG-HGUT-02437	0	0	0	0	0
MGYG-HGUT-02438	0	0	0	1	0
MGYG-HGUT-02440	0	0	0	0	0
MGYG-HGUT-02441	0	0	0	0	0
MGYG-HGUT-02442	0	0	0	0	0
MGYG-HGUT-02443	0	0	0	0	0
MGYG-HGUT-02444	0	0	0	0	0
MGYG-HGUT-02445	1	1	0	0	0
MGYG-HGUT-02446	0	0	0	0	0
MGYG-HGUT-02447	0	0	0	0	0
MGYG-HGUT-02448	1	1	0	0	0
MGYG-HGUT-02449	0	0	0	1	0
MGYG-HGUT-02450	0	0	0	0	0
MGYG-HGUT-02451	0	0	0	0	0
MGYG-HGUT-02452	0	0	0	1	0
MGYG-HGUT-02453	0	0	0	1	0
MGYG-HGUT-02454	0	0	0	1	0
MGYG-HGUT-02456	0	0	0	0	0
MGYG-HGUT-02457	0	0	0	1	0
MGYG-HGUT-02458	0	0	0	0	1
MGYG-HGUT-02459	0	0	0	0	0
MGYG-HGUT-02460	0	0	0	0	0
MGYG-HGUT-02461	0	0	0	0	1
MGYG-HGUT-02462	0	0	0	0	1
MGYG-HGUT-02463	0	0	0	0	0
MGYG-HGUT-02464	0	0	0	0	0
MGYG-HGUT-02465	0	0	0	0	1
MGYG-HGUT-02466	0	0	0	0	1
MGYG-HGUT-02467	0	0	0	0	1
MGYG-HGUT-02469	0	0	0	0	0
MGYG-HGUT-02470	0	0	0	1	0
